Leaderboard name,#Empty leaderboards (non-pwc),Downloadable format,Evaluation workflows (non-pwc),Organization strategies (non-pwc),Platforms,Platforms with model linkage (non-pwc),Presentation formats (non-pwc),Publication venues,Release organizations (non-pwc),Submission channels (non-pwc),Participatory models,Evaluation metrics (pwc),Organization strategies,Release organizations,Supported benchmarks,#Supported benchmark,#Presentation format,#Organization strategy,#Release organization,#Host platform,#Evaluation record,#Participatory model,#Leaderboard,#Evaluation metric (pwc)
AudioCaps,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['NAAC'],[],set(),"['AL-MixGen + Multi-TTA', 'QB-Norm+CE', 'Shaharabany et al.', 'MoEE', 'ONE-PEACE', 'ZerAuCap', 'CE', 'VAST', 'MMT', 'No audio', 'VALOR']","['spider', 'meteor', 'rouge-l', 'recall@1', 'cider', 'bleu-4', 'spice', 'recall@5', 'recall@10']",{'Task'},{'Papers With Code'},['AudioCaps'],1.0,2.0,1.0,1.0,1.0,20.0,11.0,3.0,9.0
AutoEval-Video,,['CSV'],['6'],[],['Hugging Face Spaces'],yes,{'Hugging Face Spaces': ['Sortable Table']},['report'],"['Shanghai Jiao Tong University', 'ByteDance AI Lab']",{'Submission Portal'},"['GPT-4V', 'BLIP-2', 'InstructBLIP', 'Video-ChatGPT', 'Qwen-VL', 'Video-LLaMA', 'VideoChat', 'LLaVA-1.5']",set(),[],"{'Shanghai Jiao Tong University', 'ByteDance'}",['AutoEval-Video'],1.0,1.0,0.0,2.0,1.0,8.0,8.0,1.0,
AVA,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['CVPR'],[],set(),"['MViT-B-24, 32x3', 'RM', 'MViTv2-L', 'SlowFast, 4x16, R50', 'ACAR', 'SlowFast, 16x8 R101+NL', 'VideoMAE V2-g', 'Hiera-H', 'MaskFeat', 'STAR/L', 'ORViT MViT-B, 16x4', 'MViT-B, 32x3', 'SlowFast, 8x8, R101', 'VideoMAE', 'UMT-L', 'InternVideo', 'ACAR-Net, SlowFast R-101', 'MViT-B, 16x4', 'LART', 'MVD', 'Object Transformer', 'SlowFast, 8x8 R101+NL', 'MViT-B, 64x3', 'MeMViT-24', 'HIT']","['val map', 'test map', 'map']",{'Task'},{'Papers With Code'},['AVA'],1.0,2.0,1.0,1.0,1.0,44.0,25.0,2.0,3.0
BACE,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",[],[],set(),"['D-MPNN', 'GAL 1.3B', 'GROVER', 'GAL 120B', 'GAL 6.7B', 'Uni-Mol', 'ChemBERTa-2', 'N-GramXGB', 'N-GramRF', 'ChemRL-GEM', 'GAL 125M', 'GAL 30B', 'PretrainGNN', 'MolXPT', 'SPMM']","['roc-auc', 'rmse']",{'Task'},{'Papers With Code'},['BACE'],1.0,2.0,1.0,1.0,1.0,16.0,15.0,1.0,2.0
BANKING77,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['NLP4ConvAI'],[],set(),"['RoBERTa-Large + ICDA', 'OCaTS']",['accuracy'],{'Task'},{'Papers With Code'},['BANKING77'],1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
BBBP,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['Molecules'],[],set(),"['GAL 125M', 'GAL 1.3B', 'GAL 6.7B', 'GAL 30B', 'Uni-Mol']",['auc'],{'Task'},{'Papers With Code'},['BBBP'],1.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0
BBH,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['ACL'],[],set(),"['Orca 2-7B', 'PaLM 540B', 'Orca 2-13B', 'Flan-PaLM', 'Flan-PaLM 540B', 'code-davinci-002']",['average'],{'Task'},{'Papers With Code'},"['SNARKS', 'Geometric Shapes', 'Salient Translation Error Detection', 'Boolean Expressions', 'Multistep Arithmetic', 'Adjective Order', 'Sorting Words', 'Ruin a Name with One Edit', 'Object Counting', 'Tracking Shuffled Objects', 'Web of Lies', 'Sequences', 'Tables of Penguins', 'Formal Fallacies and Syllogisms with Negation', 'MovieLens', 'Navigation', 'Date Understanding', 'Sports Understanding', 'Reasoning about Colored Objects', 'Disambiguation QA', 'Causal Judgment', 'Logical Deduction', 'Dyck Languages']",23.0,2.0,1.0,1.0,1.0,16.0,6.0,2.0,1.0
BC5CDR,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['DATABASE'],[],set(),"['RDANER', 'BertForTokenClassification', 'BioFLAIR', 'GoLLIE', 'aimped', 'UniNER-7B', 'BioLinkBERT', 'CollaboNet', 'ELECTRAMed', 'Spark NLP', 'BERT-CRF', 'BINDER', 'SciBERT', 'BLSTM-CNN-Char', 'CL-L2', 'ConNER']",['f1'],{'Task'},{'Papers With Code'},['BC5CDR'],1.0,2.0,1.0,1.0,1.0,17.0,16.0,1.0,1.0
BEIR,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['NeurIPS'],[],set(),"['ColBERT', 'SGPT-CE -6.1B', 'docT5query', 'GenQ', 'TAS-b', 'COCO-DR Base', 'Splade v2', 'monoT5-3B', 'Contriever', 'GPL', 'RetroMAE v2', 'GTR XXL', 'BM25+CE', 'ColBERT v2', 'SPARTA', 'BM25', 'SGPT-CE-2.7B', 'DPR', 'COCO-DR Large', 'SGPT-CE-6.1B', 'cpt-text XL', 'OpenAI Search-Davinci', 'ANCE', 'TAS-B', 'DeepCT', 'SGPT-BE-5.8B', 'cpt-text L', 'monoT3-3B', 'GTR XL']","['avg. ndcg@10', 'average accuracy', 'ndcg@10']",{'Task'},{'Papers With Code'},"['SciFact', 'CQADupStack', 'Signal-1M', 'MSMARCO', 'NQ', 'HotpotQA', 'Climate-FEVER', 'TREC-COVID', 'ArguAna', 'Robust04', 'BioASQ', 'FiQA', 'Touche', 'DBpedia', 'FEVER', 'SciDocs', 'QQP', 'TREC-News', 'NFCorpus']",19.0,2.0,1.0,1.0,1.0,107.0,29.0,18.0,3.0
BenchLMM,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['report'],[],set(),"['MiniGPTv2-7B', 'InstructBLIP-7B', 'GPT-4V', 'LLaVA-1.5-13B', 'LLaVA-1-13B', 'Otter-7B', 'InstructBLIP-13B', 'LLaVA-1.5-7B', 'Sphinx-V2-1K', 'MiniGPT4-13B']",['gpt-3.5 score'],{'Task'},{'Papers With Code'},['BenchLMM'],1.0,2.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0
BenchLMM,,[],['2'],['Task'],['GitHub'],,{'GitHub': ['Table Screenshot']},['report'],"['Nanyang Technological University', 'University of Technology Sydney', 'Northeastern University', 'Mohamed bin Zayed University of AI', 'Zhejiang University']",set(),"['GPT-4V', 'MiniGPT4-7B', 'Otter-7B', 'MiniGPT4-v2-7B', 'InstructBLIP-13B', 'LLaVA-1.5-7B', 'MiniGPT4-13B', 'InstructBLIP-7B', 'LLaVA-1.5-13B', 'LLaVA-13B']",set(),['Task'],"{'Nanyang Technological University', 'University of Technology Sydney', 'Mohamed bin Zayed University of AI', 'Northeastern University', 'Zhejiang University'}",['BenchLMM'],1.0,1.0,1.0,5.0,1.0,30.0,10.0,3.0,
Berkeley Function Calling Leaderboard,,['CSV'],['2'],"['Aggregated Result', 'Evaluator']","['Hugging Face Spaces', 'independent platform']",yes,"{'Hugging Face Spaces': ['Sortable Table', 'Radar Chart'], 'independent platform': ['SortableTable']}","['report', 'blog']","['University of California Berkeley', 'Microsoft']",set(),"['Claude-3-Sonnet-20240229', 'Mistral-small-2312', 'Functionary-Medium-v2.2', 'Mistral-Medium-2312', 'gpt-4-1106-preview-fc', 'Nexusflow-Raven-v2', 'Gorilla-OpenFunctions-v0', 'Gemini-1.0-Pro', 'Claude-3-Opus-20240229', 'Claude-2.1', 'GPT-4-0613', 'Mistral-large-2402', 'GPT-3.5-Turbo-0125', 'FireFunction-v1', 'Claude-instant-1.2', 'GPT-4-0125-Preview', 'Deepseek-v1.5', 'Gorilla-OpenFunctions-v2', 'Glaive-v1', 'Mistral-tiny-2312', 'gorilla-openfunctions-v2', 'Gemma', 'Functionary-Small']",set(),"['Aggregated Result', 'Evaluator']","{'University of California', 'Microsoft'}",['Berkeley Function Calling Leaderboard'],1.0,3.0,2.0,2.0,2.0,23.0,23.0,2.0,
Big Code Models Leaderboard,,['CSV'],['7'],['Aggregated Result'],['Hugging Face Spaces'],yes,"{'Hugging Face Spaces': ['Sortable Table', 'Scatter Plot']}",[],['BigCode'],{'Pull Request'},"['DeepSeek-Coder-7b-instruct', 'DeepSeek-Coder-33b-base', 'CodeLlama-7b-Python', 'Phi-1', 'CodeLlama-70b-Python', 'StarCoderBase-7B', 'CodeGen-16B-Multi', 'WizardCoder-Python-13B-V1.0', 'DeepSeek-Coder-33b-instruct', 'CodeGen25-7B-mono', 'StarCoderBase-15B', 'StarCoder2-15B', 'Phind-CodeLlama-34B-v1', 'Phind-CodeLlama-34B-Python-v1', 'StarCoder-15B', 'CodeFuse-DeepSeek-33b', 'DeepSeek-Coder-7b-base', 'Falcon-180B', 'StarCoderBase-1.1B', 'CodeLlama-7b-Instruct', 'CodeLlama-13b-Instruct', 'CodeLlama-70b', 'StarCoderBase-3B', 'Stable-code-3b', 'OctoCoder-15B', 'CodeGen25-7B-multi', 'StarCoder2-7B', 'WizardCoder-1B-V1.0', 'CodeLlama-70b-Instruct', 'CodeLlama-13b', 'DeepSeek-Coder-1b-base', 'StableCode-3B-alpha', 'CodeLlama-34b-Python', 'CodeLlama-34b', 'CodeLlama-13b-Python', 'Phind-CodeLlama-34B-v2', 'WizardCoder-Python-34B-V1.0', 'OpenCodeInterpreter-DS-33B', 'DeciCoder-1B', 'CodeLlama-34b-Instruct', 'CodeLlama-7b', 'CodeGeex2-6B', 'WizardCoder-3B-V1.0', 'CodeShell-7B', 'OpenCodeInterpreter-DS-6.7B', 'SantaCoder-1.1B', 'OctoGeeX-7B', 'StarCoder2-3B', 'WizardCoder-15B-V1.0', 'Replit-2.7B', 'Refact-1.6B']",set(),['Aggregated Result'],{'BigCode'},"['MultiPL-E', 'HumanEval', 'HumanEvalPack']",3.0,2.0,1.0,1.0,1.0,51.0,51.0,1.0,
BIG-Bench,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['TMLR'],[],set(),"['Orca 2-7B', 'Flan-PaLM', 'PaLM-62B', 'GAL 120B', 'Gopher-280B', 'Orca 2-13B', 'GLM-130B', 'PaLM 62B', 'Bloomberg GPT', 'OPT 66B', 'PaLM 8B', 'PaLM-540B', 'code-davinci-002', 'Chinchilla-70B', 'OPT 175B', 'BLOOM 176B', 'BloombergGPT', 'PaLM 540B', 'GAL 30B', 'Flan-PaLM 540B', 'PaLM 2', 'GPT-NeoX']","['accuracy', 'exact string match', 'average']",{'Task'},{'Papers With Code'},"['Identify Odd Metaphor', 'Phrase Relatedness', 'List Functions', 'Geometric Shapes', 'Color', 'Mathematical Induction', 'Sorting Words', 'Reordering', 'Understanding Fables', 'Discovery', 'Conlang Translation Problems', 'Identifying Anachronisms', 'NQ', 'English to Russian Proverbs', 'Kannada Riddles', 'Sentence Ambiguity', 'COPA', 'Informal and Formal Fallacies', 'Data Wrangling', 'Object Counting', 'EmoTag1200', 'Periodic Elements', 'Swedish to German proverbs', 'Tracking Shuffled Objects', 'Key Value Maps', 'Word Problems on Sets and Graphs', 'Simple Text Editing', 'Truthful QA', 'Cryptonite', 'Wikimedia', 'YesNoBlackWhite Game', 'Diverse Metrics for Social Biases in Language Models', 'Transforming German Sentences to Gender', 'Cornell Movie-Dialogs Corpus', 'Conceptual Combinations', 'Similarities Test for Abstraction', 'Logic Grid Puzzles', 'Analytic Entailment', 'Navigation', 'Disambiguation QA', 'Causal Judgment', 'StrategyQA', 'High Low Guessing Game', 'Dynamic Counting', 'Simple arithmetic with multiple targets', 'Estimating Risk of Suicide', 'Dark Humor Detection', 'Spider', 'Physics Questions', 'MultiEmo', 'SIT', 'Rhyming', 'Forecasting Subquestions', 'Irony Identification', 'ARC', 'Identify Math Theorems', 'GEM', 'Wikidata', 'TimeDial', 'English Proverbs', 'Implicatures', 'ASCII Word Recognition', 'CIFAR-10', 'Protein Interaction Sites', 'Hindi Question Answering', 'Long Input Contexts', 'Intent Recognition', 'Simple arithmetic', 'Entailed Polarity in Hindi', 'VitaminC', 'SIQA', 'Language Games', 'Minute Mysteries QA', 'Authorship Verification', 'Known Unknowns', 'Self-awareness', 'Arithmetic', 'Simple multiple choice arithmetic', 'RoFT', 'CRT', 'Medical Questions in Russian', 'Understanding Grammar of Unseen Words', 'Subject-Verb Agreement', 'Formal Fallacies and Syllogisms with Negation', 'Python Programming', 'SQuAD', 'Simple arithmetic with subtasks', 'Analogical Similarity', 'Date Understanding', 'CoDA', 'Sports Understanding', 'Reasoning about Colored Objects', 'Unit Interpretation', 'Fantasy Reasoning', 'CRASS', 'What is the Tao', 'Entailed Polarity', 'CS Algorithms', 'TruthfulQA', 'Modified Arithmetic', 'COM2SENSE', 'Physics Multiple Choice', 'Novel Concepts', 'KPWr', 'Misconceptions', 'Intersection Points', 'Metaphor Understanding', 'Factuality', 'Self Evaluation Courtroom', 'General Knowledge', 'UnQover', 'CoQA', 'Muslim-Violence Bias', 'PARSINLU', 'BBQ-Lite', 'Salient Translation Error Detection', 'Boolean Expressions', 'Multistep Arithmetic', 'Verb Tense', 'Cycled Letters', 'Gender Sensitivity Test', 'Matrix Shapes', 'Logical Arguments', 'Presuppositions as NLI', 'Which Wiki Edit', 'Training on the test set', 'Automatic Debugging', 'Sequential Order', 'ParsiNLU', 'Hindu Mythology Trivia', 'Alignment of Simplicity Priors for Turing', 'ISNotes', 'State Tracking in Chess', 'Indic Cause and Effect', 'LTI LangID Corpus', 'Linguistic Puzzles', 'HHH', 'Odd One Out', 'Sudoku', 'Autoclassification', 'Twenty Questions', 'Fact-Checking', 'SParC', 'MovieLens', 'Persian Idioms', 'Logical Deduction', 'The Essential, the Excessive, and the Extraneous', 'Crash Blossoms', 'Swahili-English Paremiologic Competence', 'Operators', 'Strange Stories', 'Wino-X', 'Dyck Languages', 'TellMeWhy', 'SQuADShifts', 'Judging Moral Permissibility', 'Disfl-QA', 'Checkmate In One Move', 'SNARKS', 'Cause and Effect', 'Word Unscrambling', 'SNLI', 'Sufficient Information', 'Adjective Order', 'Hinglish Toxicity Prediction', 'Self Evaluation of Tutoring', 'Empirical Judgments', 'Social Support', 'Unit Conversion', 'Codenames', 'Ruin a Name with One Edit', 'Text Navigation Game', 'Code Description', 'Figure of Speech Detection', 'MathQA', 'Unnatural In-Context Learning', 'SGD', 'Simple Ethical Questions', 'Web of Lies', 'Sequences', 'Natural Instructions', 'Repeat Copy Logic', 'ASCII MNIST', 'Root Finding, Optimization and Games', 'characterRelations', 'Topical-Chat', 'Python Program Synthesis', 'Tables of Penguins', 'Emoji Movie', 'Linguistic Mappings', 'MNLI', 'Common Morpheme', 'Goal-Step Inference', 'Physical Intuition', 'Scientific Press Release', 'TalkDown', 'Cryobiology Spanish', 'Taboo', 'Metaphor Boolean', 'GRE Reading Comprehension', 'RiddleSense', 'Kanji ASCII Art', 'Spelling Bee', 'Social Bias from Sentence Probability', 'Shakespeare Dialogue', 'Keyword Sentence Transformation', 'WinoWhy', 'ePiC', 'Human Organs and Senses']",209.0,2.0,1.0,1.0,1.0,312.0,22.0,127.0,3.0
BIGOS (v2),,['CSV'],['2'],"['Benchmark Dataset', 'Metric']",['Hugging Face Spaces'],,{'Hugging Face Spaces': ['Sortable Table']},['FedCSIS'],['Adam Mickiewicz University'],set(),"['whisper_local_large-v2', 'wav2vec2_large-xlsr-53-polish', 'whisper_cloud_whisper-1', 'whisper_local_tiny', 'google_v2_long', 'whisper_local_large-v1', 'whisper_local_small', 'google_default', 'google_latest_short', 'google_command_and_search', 'whisper_local_base', 'azure_latest', 'nemo_stt_pl_fastconformer_hybrid_large_pc', 'wav2vec2_xls-r-1b-polish', 'google_latest_long', 'whisper_local_large', 'mms_1b-all', 'google_v2_short', 'whisper_local_medium']",set(),"['Benchmark Dataset', 'Metric']",{'Adam Mickiewicz University'},"['M-AILABS Speech', 'Clarin Studio Corpus', 'FLEURS', 'AZON Read and Spontaneous Speech Corpora', 'Clarin Mobile Corpus', 'MLS', 'MINDS-14', 'Jerzy Sas PWR', 'Common Voice']",9.0,1.0,2.0,1.0,1.0,247.0,19.0,2.0,
BioASQ,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['AAAI'],[],set(),"['PubMedBERT uncased', 'BioLinkBERT', 'GAL 120B', 'OPT', 'BLOOM']",['accuracy'],{'Task'},{'Papers With Code'},['BioASQ'],1.0,2.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0
BioLAMA,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['EMNLP'],[],set(),"['GAL 1.3B', 'GAL 6.7B', 'GAL 120B', 'BLOOM', 'GAL 125M', 'GPT-3', 'OPT', 'GAL 30B']",['accuracy'],{'Task'},{'Papers With Code'},['BioLAMA'],1.0,2.0,1.0,1.0,1.0,8.0,8.0,1.0,1.0
Biomedical Knowledge Probing Leaderboard,,[],['4'],[],['Hugging Face Spaces'],yes,{'Hugging Face Spaces': ['Sortable Table']},[],['Independent Contributor'],{'Submission Portal'},"['mistralai/Mistral-7B-Instruct-v0.1', 'EleutherAI/pythia-160m', 'EleutherAI/pythia-70m', 'amazon/MistralLite']",set(),[],{'Independent Contributor'},"['PubMedQA', 'BioLAMA', 'MedMCQA']",3.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,
BIRD,,[],['4'],['Metric'],['GitHub'],yes,{'GitHub': ['Regular Table']},['NeurIPS'],"['University of Hong Kong', 'Alibaba Group DAMO Academy', 'Tsinghua University', 'Shanghai AI Laboratory', 'Massachusetts Institute of Technology', 'Chinese University of Hong Kong', 'University of Illinois Urbana Champaign']",{'Email'},"['SFT CodeS-15B', 'Palm-2', 'ChatGPT', 'Claude-2', 'GPT-4', 'T5-Base', 'OPEN-SQL', 'MAC-SQL + GPT-4', 'SFT CodeS-7B', 'T5-3B', 'Dubo-SQL, v1', 'Human Performance', 'DIN-SQL + GPT-4', 'T5-Large', 'Open-SQL', 'DAIL-SQL + GPT-4', 'ChatGPT + CoT', 'Codex']",set(),['Metric'],"{'Shanghai AI Laboratory', 'Massachusetts Institute of Technology', 'University of Hong Kong', 'University of Illinois', 'Tsinghua University', 'Alibaba Group', 'Chinese University of Hong Kong'}",['BIRD'],1.0,1.0,1.0,7.0,1.0,44.0,18.0,2.0,
BoolQ,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['NAACL'],[],set(),"['Hyena', 'FLAN 137B', 'LLaMA 65B', 'LLaMA 7B', 'bloom', 'AlexaTM 20B', 'OPT-IML 175B', 'Bloomberg GPT', 'PaLM 540B', 'DeBERTa-1.5B', 'GPT-3', 'OPT-IML 1.3B', 'Chinchilla', 'Neo-6B', 'LLaMA 2 70B', 'OPT-IML 30B', 'LLaMA 33B', 'MUPPET Roberta Large', 'EFL', 'T5-Small', 'PaLM 2-S', 'LLaMA 2 13B', 'OPT 30B', 'LLaMA 2 34B', 'MUPPET Roberta Base', 'GPT-3 175B', 'OPT 66B', 'T5-Base', 'PaLM 2-L', 'Gopher', 'LLaMA 13B', 'ST-MoE-32B', 'OPT 1.3B', 'OPT 175B', 'BLOOM 176B', 'T5-Large', 'N-Grammer', 'GPT-NeoX', 'PaLM 2-M', 'T5-11B', 'LLaMA 2 7B']",['accuracy'],{'Task'},{'Papers With Code'},['BoolQ'],1.0,2.0,1.0,1.0,1.0,44.0,41.0,2.0,1.0
BOP,,[],['6'],"['Aggregated Result', 'Benchmark Dataset', 'Task']",['independent platform'],yes,{'independent platform': ['Sortable Table']},['ECCV'],"['Czech Technical University in Prague', 'Dresden University of Technology', 'Heidelberg University', 'Toyota', 'University of Southern Denmark', 'MVTec Software', 'National Taiwan University of Science and Technology', 'Foundation for Research and Technology - Hellas', 'Imperial College London', 'Technical University of Munich']",{'Submission Portal'},"['Zhigang-CDPN-ICCV19', 'Megapose-CNOS_fastSAM+MultiHyp', 'Sundermeyer-IJCV19+ICP', 'MRC-Net', 'Extended FCOS-MixPBR', 'RADet+PFA-MixPBR-RGBD-Fast', 'RADet+PFA-MixPBR-RGB', 'SMC-0.5s-CNOS', 'Pix2Pose-BOP19-PBR', 'SSD-6D No Ref', 'VSW6D', 'Megapose-GDRNPPDet_PBRReal+MultiHyp', 'XYZ-SurfaceMatching', 'FoundPose+FeatRef+Megapose', 'CosyPose-ECCV20-SYNT+REAL-1VIEW', 'FFB6D', 'Synthetica', 'Megapose-CNOS_fastSAM+Multihyp_Teaserpp', 'HccePose', 'FoundationPose', 'Pix2Pose-BOP20-ICCV19', 'GDet2023', 'GPose2023', 'Megapose-GDRNPPDet_PBRReal+MultiH...', 'SMPose', 'GigaPose', 'SMC-1.0s-CNOS', 'OSOP: RGBD', 'Megapose-CNOS_fastSAM+Multihyp_Te...', 'CosyPose-LS', 'Pix2Pose-Original-ICCV19', 'EPOS-BOP20-PBR', 'PVNet-CVPR19+ICP', 'Pix2Pose-BOP19_w/ICP-ICCV19', 'Megapose-GDRNPPDet_PBRReal+MultiHyp_Teaserpp', 'ZeroPose-One-Hypo', 'TSR', 'ZeroPose', 'ViewInvDet', 'ZebraPoseSAT-EffnetB4 + ICP', 'SAM6D', 'CosyPose-ECCV20-SYNT+REAL-4VIEWS', 'MRPE-PBRReal-RGB-SModel', 'ModalOccusion-Depth', 'DLZDet-PBRREAL', 'GDRNPPDet_PBRReal+GenFlow-MultiHypo', 'ZTE_PPF', 'FFB6D-CVPR21-SYNT+REAL-NoRefinement', 'Sundermeyer-IJCV19', 'Drost-CVPR10-3D-Edges', 'G2L1', 'PVNet-CVPR19', 'CosyPose-ECCV20-SYNT+REAL-1VIEW-ICP', 'GDet2023-PBR', 'CRT-6D', 'DOPE', 'RADet+PFA-MixPBR-RGBD', 'ModalOcclusion-RGB', 'Félix&Neves-ICRA2017-IET2019', 'Megapose-CNOS_fastSAM+MultiHyp-10', 'CosyPose-ECCV20-PBR-1VIEW', 'DLZDet-PBR+Real', 'OSOP: RGB', 'ZebraPose', 'RADet+PFA-PBR-RGBD', 'RCVPose 3D_SingleModel_VIVO_PBR', 'Vidal-Sensors18', 'PseudoNet', 'Pix2Pose-BOP20_w/ICP-ICCV19', 'SAM6D-BOP2023-CNOSmask', 'ZeroPose-Multi-Hypo-Refinement-De...', 'MRPE-PBR-RGB-SModel', 'GigaPose+MegaPose', 'GDRNPP-PBRReal-RGB-MModel', 'PFA-cosypose', 'GigaPose+GenFlow+kabsch', 'CDPNv2_BOP20', 'GDRNPP-PBRReal-RGBD-MModel', 'GenFlow-MultiHypo16', 'MegaPose-CNOS_fastSAM+CoarseBest', 'EPOS-CVPR20', 'SurfEmb-PBR-RGBD', 'GDRNPP-PBRReal-RGBD-MModel-Offici...', 'RDPN', 'GDRNPPDet_PBRReal', 'ZebraPose-SAT', 'SurfEmb-PBR-RGB', 'FFB6D-PBR+Real', 'GDRNPP-PBR-RGB-MModel', 'GDRNPPDet_PBRReal+GenFlow-MultiHy...', 'gao-cloudpose19plus', 'FFB6D-CVPR21-PBR-NoRefinement', 'Magic', 'FoundPose+FeatRef', 'Coupled Iterative Refinement', 'GenFlow-coarse', 'GPose2023-PBR', 'GenFlow-MultiHypo', 'PointVoteNet2', 'FoundPose+FeatRef+Megapose-5hyp', 'GPose2023-OfficialDet', 'ZebraPoseSAT-EffnetB4', 'SAM6D-FastSAM', 'DL-PPF', 'Megapose-CNOS_fastSAM+Multihyp_Teaserpp-10', 'SingleMultiPathEncoder-CVPR20', 'Koenig-Hybrid-DL-PointPairs', 'HiPose-CVPR24', 'SAM6D-ZeroPose', 'GDRNPPDet_PBRReal+GenFlow-MultiHypo-RGB', 'Drost-CVPR10-Edges', 'SC6D', 'CDPN_BOP19', 'RCVPose', 'ZebraPoseSAT-EffnetB4_refined', 'Drost-CVPR10-3D-Only', 'SAM6D-CNOSfastSAM', 'Drost-CVPR10-3D-Only-Faster', 'DLZDet-PBR1', 'Megapose-GDRNPPDet_PBRReal', 'DPOD', 'PViT-6D', 'RADet+PFA-PBR-RGB', 'AMB6D-PBR+Real', 'gao-cloudpose19', 'GigaPose+GenFlow', 'SFM-TransferTech', 'GDRNPP-PBR-RGBD-MModel', 'PPF_3D_ICP', 'OfficialDet-PFA-Mixpbr-RGB-D', 'CosyPose', 'GPose2023-RGB', 'leaping from 2D to 6D', 'GDRNPP-PBRReal-RGB-SModel', 'GenFlow-MultiHypo-RGB', 'CNOS', 'ModalOcclusion-RGBD', 'Extended FCOS-PBR', 'W-PoseNet w/ICP', 'CosyPose-ECCV20-SYNT+REAL-8VIEWS', 'FoundPose+MegaPose', 'GenFlow-MultiHypo16-RGB', 'ZeroPose-Multi-Hypo-Refinement', 'Pix2Pose-BOP19-ICCV19', 'GDRNPP-PBRReal-RGBD-MModel-Fast', 'lcc-fastsam', 'GDRNPP-PBRReal-RGBD-MModel-OfficialDet', 'DOPE-LS', 'MegaPose-CNOS_fastSAM', 'GDRNPP-PBRReal-RGBD-SModel', 'FoundPose-Coarse', 'GDRNPPDet_PBR', 'DPODv2', 'ZeroPose-Multi-Hypo-Refinement-DefaultSeg']",set(),"['Aggregated Result', 'Benchmark Dataset', 'Task']","{'Dresden University of Technology', 'Heidelberg University', 'University of Southern Denmark', 'Toyota', 'MVTec Software', 'Technical University of Munich', 'National Taiwan University of Science and Technology', 'Czech Technical University in Prague', 'Foundation for Research and Technology - Hellas', 'Imperial College London'}","['RU-APC', 'LM-O', 'TUD-L', 'HomebrewedDB', 'HOPE', 'T-LESS', 'IC-MI', 'MVTec ITODD', 'YCB-Video', 'IC-BIN', 'LM', 'TYO-L']",12.0,1.0,3.0,10.0,1.0,1341.0,154.0,53.0,
BotChat,,[],['2'],['Aggregated Result'],['GitHub'],yes,{'GitHub': ['Regular Table']},['report'],"['Shanghai AI Laboratory', 'Fudan University', 'Shanghai Jiao Tong University', 'Chinese University of Hong Kong']",set(),"['GPT-3.5-turbo-0613', 'Llama2-7B', 'Baichuan2-13B-Chat', 'Qwen-7B-Chat', 'ChatGLM2-6B', 'Llama2-13B', 'GPT-4', 'Internlm-20B-Chat', 'InternLM-7B-Chat', 'Claude-2', 'Llama2-70B', 'Qwen-14B-Chat', 'Vicuna-13B', 'Vicuna-7B']",set(),['Aggregated Result'],"{'Shanghai Jiao Tong University', 'Fudan University', 'Shanghai AI Laboratory', 'Chinese University of Hong Kong'}",['BotChat'],1.0,1.0,1.0,4.0,1.0,14.0,14.0,1.0,
